// This file was decompiled using SASCM.ini published on 2021-01-30
DEFINE OBJECTS 127
DEFINE OBJECT SANNY BUILDER 3.7.0     
DEFINE OBJECT MICRO_UZI                // Object number -1
jf @IZES_1321 
if 
   not Actor.Dead(30@)
jf @IZES_1321 
089F: get_actor 30@ pedtype_to 11@ 
if 
   not 11@ > 23 
jf @IZES_1321 
if 
   not Actor.HasWeapon(30@, 45)
jf @IZES_1321 
if 
00F2:   actor $PLAYER_ACTOR near_actor 30@ radius 40.0 40.0 0 
jf @IZES_1321 
if and
   not Actor.Animation(30@) == "KILL_KNIFE_PED_DIE"
   not Actor.Animation(30@) == "KILL_KNIFE_PED_DAMAGE"
   not Actor.Animation(30@) == "FIGHTC_2"
jf @IZES_1321 
if or
  11@ == 6 
   Actor.Model(30@) == -41
jf @IZES_1936 
if 
   not does_file_exist "CLEO\POLICESYSTEM.CS" 
jf @IZES_1936 
062E: get_actor 30@ task 1560 status_store_to 11@ // ret 7 if not found 
if 
04A3:   11@ == 7 // == constant 
jf @IZES_1321 
if 
0449:   actor 30@ in_a_car 
jf @IZES_1845 
15@ = Actor.CurrentCar(30@)
0397: enable_car 15@ siren 1 
0633: AS_actor 30@ exit_car 
jump @IZES_1321 

:IZES_1845
if 
   not Actor.Driving(30@)
jf @IZES_1321 
Actor.GiveWeaponAndAmmo(30@, WeaponType.Infrared, 1)
IZES_2445()
10@ = Actor.Health(30@)
10@ += 500 
Actor.Health(30@) = 10@
02A9: set_actor 30@ immune_to_nonplayer 1 
TIMERB = 0 
Actor.WeaponAccuracy(30@) = 95
081A: set_actor 30@ weapon_skill_to 2 
jump @IZES_1321 

:IZES_1936
if and
  11@ >= 4 
  22 >= 11@ 
jf @IZES_2269 
0470: 12@ = actor 30@ current_weapon 
if 
  12@ > 16 
jf @IZES_2126 
0470: 12@ = actor 30@ current_weapon 
Actor.GiveWeaponAndAmmo(30@, WeaponType.Infrared, 1)
01B9: set_actor 30@ armed_weapon_to 12@ 
10@ = Actor.Health(30@)
10@ += 500 
Actor.Health(30@) = 10@
02A9: set_actor 30@ immune_to_nonplayer 1 
TIMERB = 0 
if 
06EE:   actor 30@ in_group $PLAYER_GROUP 
jf @IZES_2098 
start_new_script @NONAME_2 30@ 0 4 -15 $PLAYER_ACTOR 0 
jump @IZES_2119 

:IZES_2098
start_new_script @NONAME_2 30@ 0 4 -15 -1 0 

:IZES_2119
jump @IZES_1321 

:IZES_2126
062E: get_actor 30@ task 1498 status_store_to 10@ // ret 7 if not found 
062E: get_actor 30@ task 1560 status_store_to 11@ // ret 7 if not found 
if and
04A3:   11@ == 7 // == constant 
04A3:   10@ == 7 // == constant 
jf @IZES_1321 
TIMERB = 0 
if 
0449:   actor 30@ in_a_car 
jf @IZES_2208 
0633: AS_actor 30@ exit_car 
jump @IZES_1321 

:IZES_2208
if 
   not Actor.Driving(30@)
jf @IZES_1321 
Actor.StorePos(30@, 10@, 11@, 12@)
05DA: AS_actor 30@ run_away_in_panic_from 10@ 11@ 12@ away_radius 100.0 timelimit 99999 
jump @IZES_1321 

:IZES_2269
jump @IZES_1321 
if 
  19@ == -1 
jf @IZES_2401 
Actor.StorePos($PLAYER_ACTOR, 10@, 11@, 12@)
get_random_car_in_sphere_no_save_recursive 15@ 10@ 11@ 12@ 50.0 1 1 
if 
056E:   car 15@ defined 
jf @IZES_2401 
if 
   Car.Model(15@) == -15
jf @IZES_2401 
046C: 12@ = car 15@ driver 
if 
856D:   not actor 12@ defined 
jf @IZES_2401 
Actor.CreateAsDriver(19@, PedType.Mission3, -40, 15@)

:IZES_2401
if 
056D:   actor 19@ defined 
jf @IZES_2445 
if 
   Actor.Dead(19@)
jf @IZES_2445 
Actor.RemoveReferences(19@)
19@ = -1 

:IZES_2445
if or
   Actor.Model(30@) == -40
   Actor.Model(30@) == -18
   Actor.Model(30@) == -16
   Actor.Model(30@) == -42
   Actor.Model(30@) == -41
jf @IZES_2555 
0209: 12@ = random_int_in_ranges 0 2 
if 
  12@ == 0 
jf @IZES_2539 
Model.Load(#M4)
Actor.GiveWeaponAndAmmo(30@, WeaponType.M4, 9999)
jump @IZES_2553 

:IZES_2539
Model.Load(#MP5LNG)
Actor.GiveWeaponAndAmmo(30@, WeaponType.Mp5, 9999)

:IZES_2553
return 

:IZES_2555
Model.Load(#COLT45)
Actor.GiveWeaponAndAmmo(30@, WeaponType.Pistol, 9999)
return 

:IZES_2571
Actor.DestroyWithFade($9397)
Actor.DestroyWithFade($9398)
Actor.DestroyWithFade($9399)
Actor.DestroyWithFade($9400)
Actor.DestroyWithFade($9401)
Actor.DestroyWithFade($9402)
Player.WantedLevel($PLAYER_CHAR) = 0
10@ = -2032.952 
11@ = 164.9256 
12@ = 28.8359 
13@ = 268.2931 
24@ = 31 
IZES_4832()
start_new_script @NONAME_2 25@ 1 4 -10 -1 0 
0085: $9397 = 25@ // (int) 
10@ = -2037.957 
11@ = 175.4601 
12@ = 28.8359 
13@ = 264.157 
24@ = 31 
IZES_4832()
start_new_script @NONAME_2 25@ 1 4 -10 -1 0 
0085: $9398 = 25@ // (int) 
10@ = -2034.884 
11@ = 147.1991 
12@ = 28.8359 
13@ = 277.714 
24@ = 29 
IZES_4832()
start_new_script @NONAME_2 25@ 1 4 -10 -1 0 
0085: $9399 = 25@ // (int) 
10@ = -2033.506 
11@ = 130.3128 
12@ = 28.8359 
13@ = 10.7749 
24@ = 30 
IZES_4832()
start_new_script @NONAME_2 25@ 1 4 -10 -1 0 
0085: $9400 = 25@ // (int) 
10@ = -2023.155 
11@ = 156.6977 
12@ = 32.9382 
13@ = 274.253 
24@ = 34 
IZES_4832()
start_new_script @NONAME_2 25@ 1 4 -10 -1 0 
0085: $9401 = 25@ // (int) 
10@ = -2017.988 
11@ = 147.5429 
12@ = 27.9737 
13@ = 265.2237 
24@ = 27 
IZES_4832()
start_new_script @NONAME_2 25@ 1 4 -10 -1 0 
0085: $9402 = 25@ // (int) 
jump @IZES_3113 

:IZES_3113
wait 0 
03DE: set_pedestrians_density_multiplier_to 0.0 
01F7: set_player $PLAYER_CHAR ignored_by_cops 1 
01EB: set_traffic_density_multiplier_to 0.0 
if 
80FE:   not actor $PLAYER_ACTOR sphere 0 in_sphere 20@ 21@ 0.0 radius 26@ 26@ 700.0 
jf @IZES_3192 
$9393 = 0 
jump @IZES_18 

:IZES_3192
if 
   not Actor.Dead($9397)
jf @IZES_3308 
if 
00E1:   player 0 pressed_key 8 
jf @IZES_3308 
if 
0457:   player $PLAYER_CHAR aiming_at_actor $9397 
jf @IZES_3308 
0085: $9464 = $9397 // (int) 
wait 10 
print_help_formatted "~G~RECRUIT MEMBERS JOIN YOUR GROUP." 
$9397 = -1 
wait 500 

:IZES_3308
if 
   not Actor.Dead($9399)
jf @IZES_3424 
if 
00E1:   player 0 pressed_key 8 
jf @IZES_3424 
if 
0457:   player $PLAYER_CHAR aiming_at_actor $9399 
jf @IZES_3424 
0085: $9464 = $9399 // (int) 
wait 10 
print_help_formatted "~G~RECRUIT MEMBERS JOIN YOUR GROUP." 
$9399 = -1 
wait 300 

:IZES_3424
jump @IZES_3113 

:IZES_3431
Actor.DestroyWithFade($9397)
Actor.DestroyWithFade($9398)
Actor.DestroyWithFade($9399)
Actor.DestroyWithFade($9400)
Actor.DestroyWithFade($9401)
Actor.DestroyWithFade($9402)
30@ = 0 
wait 1000 

:IZES_3473
wait 0 
if 
  26@ == 1 
jf @IZES_3563 
if 
80A4:   not actor $PLAYER_ACTOR sphere 0 in_cube_cornerA 20@ 21@ -50.0 cornerB 22@ 23@ 3000.0 
jf @IZES_3631 
$9393 = 0 
01F0: set_max_wanted_level_to 0 
Player.ClearWantedLevel($PLAYER_CHAR)
wait 2000 
jump @IZES_18 

:IZES_3563
if 
80FE:   not actor $PLAYER_ACTOR sphere 0 in_sphere 20@ 21@ 0.0 radius 26@ 26@ 700.0 
jf @IZES_3631 
$9393 = 0 
01F0: set_max_wanted_level_to 0 
Player.ClearWantedLevel($PLAYER_CHAR)
wait 2000 
jump @IZES_18 

:IZES_3631
if 
   Actor.Dead($9397)
jf @IZES_3766 
if 
056D:   actor 30@ defined 
jf @IZES_3736 
if 
051A:   actor 30@ damaged_by_actor $PLAYER_ACTOR 
jf @IZES_3736 
print_help_formatted "YOU KILL THE ENEMY COMMANDER! REWARD $!" 2766 
$9406 = 100 

:IZES_3736
24@ = 30 
0085: 25@ = $9397 // (int) 
IZES_4003()
0085: $9397 = 25@ // (int) 

:IZES_3766
if 
   Actor.Dead($9398)
jf @IZES_3812 
24@ = 30 
0085: 25@ = $9398 // (int) 
IZES_4292()
0085: $9398 = 25@ // (int) 

:IZES_3812
if 
   Actor.Dead($9399)
jf @IZES_3858 
24@ = 27 
0085: 25@ = $9399 // (int) 
IZES_4292()
0085: $9399 = 25@ // (int) 

:IZES_3858
if 
   Actor.Dead($9400)
jf @IZES_3904 
24@ = 27 
0085: 25@ = $9400 // (int) 
IZES_4292()
0085: $9400 = 25@ // (int) 

:IZES_3904
if 
   Actor.Dead($9401)
jf @IZES_3950 
24@ = 31 
0085: 25@ = $9401 // (int) 
IZES_4292()
0085: $9401 = 25@ // (int) 

:IZES_3950
if 
   Actor.Dead($9402)
jf @IZES_3996 
24@ = 29 
0085: 25@ = $9402 // (int) 
IZES_4292()
0085: $9402 = 25@ // (int) 

:IZES_3996
jump @IZES_3473 

:IZES_4003
0208: 14@ = random_float_in_ranges -50.2 50.0 
04C4: store_coords_to 10@ 11@ 12@ from_actor $PLAYER_ACTOR with_offset 14@ 14@ 0.0 
02C0: store_to 10@ 11@ 12@ ped_path_coords_closest_to 10@ 11@ 12@ 
04D3: get_nearest_car_path_coords_from 10@ 11@ 12@ type 2 store_to 10@ 11@ 12@ 
if and
00FE:   actor $PLAYER_ACTOR sphere 0 in_sphere 10@ 11@ 12@ radius 80.0 80.0 100.0 
80C2:   not sphere_onscreen 10@ 11@ 12@ radius 15.0 
jf @IZES_4290 
0781: get_weapon_with_ID 24@ model_to 18@ 
0209: 17@ = random_int_in_ranges 28@ 29@ 
Model.Load(17@)
Model.Load(18@)

:IZES_4172
wait 0 
if and
   Model.Available(17@)
   Model.Available(18@)
jf @IZES_4172 
wait 0 
Actor.Create(25@, PedType.Mission2, 17@, 10@, 11@, 12@)
Actor.Health(25@) = 200
Actor.Armour(25@) = 100
081A: set_actor 25@ weapon_skill_to 1 
Actor.GiveWeaponAndAmmo(25@, 24@, 9999)
Actor.WeaponAccuracy(25@) = 80
0446: set_actor 25@ dismemberment_possible 0 
start_new_script @NONAME_2 25@ 0 4 -10 -1 0 
return 

:IZES_4290
return 

:IZES_4292
if 
056D:   actor 25@ defined 
jf @IZES_4375 
if 
051A:   actor 25@ damaged_by_actor $PLAYER_ACTOR 
jf @IZES_4375 
print_help_formatted "YOU KILL THE ENEMY! REWARD $500!" 2766 
$9406 = 500 

:IZES_4375
0781: get_weapon_with_ID 24@ model_to 18@ 
0209: 17@ = random_int_in_ranges 28@ 29@ 
Model.Load(17@)
Model.Load(18@)

:IZES_4404
wait 0 
if and
   Model.Available(17@)
   Model.Available(18@)
jf @IZES_4404 
0208: 14@ = random_float_in_ranges -10.0 10.0 
if 
  14@ > 0.0 
jf @IZES_4620 
if 
   not Actor.Dead(30@)
jf @IZES_4611 
0208: 14@ = random_float_in_ranges -7.0 7.0 
04C4: store_coords_to 10@ 11@ 12@ from_actor 30@ with_offset 14@ 14@ -1.0 
wait 0 
Actor.Create(25@, PedType.Mission2, 17@, 10@, 11@, 12@)
Actor.Health(25@) = 100
Actor.Armour(25@) = 100
081A: set_actor 25@ weapon_skill_to 1 
0446: set_actor 25@ dismemberment_possible 1 
Actor.GiveWeaponAndAmmo(25@, 24@, 9999)
Actor.WeaponAccuracy(25@) = 70
start_new_script @NONAME_2 25@ 0 4 -10 -1 0 

:IZES_4611
return 
jump @IZES_4830 

:IZES_4620
0208: 14@ = random_float_in_ranges -40.0 40.0 
04C4: store_coords_to 10@ 11@ 12@ from_actor $PLAYER_ACTOR with_offset 14@ 14@ 0.0 
04D3: get_nearest_car_path_coords_from 10@ 11@ 12@ type 2 store_to 10@ 11@ 12@ 
if and
00FE:   actor $PLAYER_ACTOR sphere 0 in_sphere 10@ 11@ 12@ radius 100.0 100.0 15.0 
80C2:   not sphere_onscreen 10@ 11@ 12@ radius 15.0 
jf @IZES_4290 
wait 0 
Actor.Create(25@, PedType.Mission2, 17@, 10@, 11@, 12@)
Actor.Health(25@) = 100
Actor.Armour(25@) = 100
081A: set_actor 25@ weapon_skill_to 1 
0446: set_actor 25@ dismemberment_possible 1 
Actor.GiveWeaponAndAmmo(25@, 24@, 9999)
Actor.WeaponAccuracy(25@) = 70
start_new_script @NONAME_2 25@ 0 4 -10 -1 0 

:IZES_4830
return 

:IZES_4832
0781: get_weapon_with_ID 24@ model_to 18@ 
0209: 17@ = random_int_in_ranges 28@ 29@ 
Model.Load(17@)
Model.Load(18@)

:IZES_4861
wait 0 
if and
   Model.Available(17@)
   Model.Available(18@)
jf @IZES_4861 
wait 0 
Actor.Create(25@, PedType.Mission3, 17@, 10@, 11@, 12@)
Actor.Angle(25@) = 13@
Actor.Health(25@) = 200
Actor.Armour(25@) = 200
081A: set_actor 25@ weapon_skill_to 1 
0446: set_actor 25@ dismemberment_possible 0 
Actor.GiveWeaponAndAmmo(25@, 24@, 9999)
Actor.WeaponAccuracy(25@) = 90
start_new_script @NONAME_2 25@ 0 4 -10 -1 0 
Model.Destroy(17@)
return 
add_text_label "H_W01" "BRASS KNUCKLES" 
add_text_label "H_W02" "GOLF CLUB" 
add_text_label "H_W03" "NIGHT STICK" 
add_text_label "H_W04" "KNIFE" 
add_text_label "H_W05" "BASEBALL BAT" 
add_text_label "H_W06" "SHOVEL" 
add_text_label "H_W07" "POOL CUE" 
add_text_label "H_W08" "KATANA" 
add_text_label "H_W09" "CHAINSAW" 
add_text_label "H_W10" "PROPS" 
add_text_label "H_W16" "GRENADES" 
add_text_label "H_W17" "TEAR GAS" 
add_text_label "H_W18" "MOLOTOVS" 
add_text_label "H_W22" "PISTOL" 
add_text_label "H_W23" "SILENCED PISTOL" 
add_text_label "H_W24" "DESERT EAGLE" 
add_text_label "H_W25" "SHOTGUN" 
add_text_label "H_W26" "SAWNOFF SHOTGUN" 
add_text_label "H_W27" "COMBAT SHOTGUN" 
add_text_label "H_W28" "MICRO-UZI" 
add_text_label "H_W29" "MP5" 
add_text_label "H_W30" "AK47" 
add_text_label "H_W31" "M4" 
add_text_label "H_W32" "TEC-9" 
add_text_label "H_W33" "RIFLE" 
add_text_label "H_W34" "SNIPER RIFLE" 
add_text_label "H_W35" "RPG-7" 
add_text_label "H_W36" "MISSILE LAUNCHER" 
add_text_label "H_W37" "FLAME THROWER" 
add_text_label "H_W38" "MINIGUN" 
add_text_label "H_W39" "SACHET CHARGES" 
add_text_label "H_W40" "DETONATOR" 
add_text_label "H_W41" "SPRAY PAINT" 
add_text_label "H_W42" "FIRE EXTINGUISHER" 
add_text_label "H_W43" "CAMERA" 
add_text_label "H_W44" "NIGHTVISION GOGGLES" 
add_text_label "H_W45" "THERMAL GOGGLES" 
add_text_label "H_W46" "PARACHUTE" 
add_text_label "H_W53" "JETPACK" 
add_text_label "H_W54" "CELL PHONE" 
add_text_label "H_W55" "FIXED MINIGUN" 

:GHUD
script_name 'GHUD' 
0000: NOP 
add_text_label "H_HP" "~R~+~1~" 
add_text_label "H_AMMO" "~1~" 
add_text_label "H_MON1" "~G~$ ~1~" 
add_text_label "H_MON2" "~R~$ ~1~" 
add_text_label "H_INV1" "~B~IIIIIIIIII" 
add_text_label "H_INV2" "~B~œØΩœØΩœØΩœØΩ" 
add_text_label "H_NONE" "-----" 
add_text_label "H_UNK" "~R~???" 
add_text_label "H_100" "~G~IIIIIIIIII" 
add_text_label "H_90" "~G~IIIIIIIII" 
add_text_label "H_80" "~G~IIIIIIII" 
add_text_label "H_70" "~Y~IIIIIII" 
add_text_label "H_60" "~Y~IIIIII" 
add_text_label "H_50" "~Y~IIIII" 
add_text_label "H_40" "~Y~IIII" 
add_text_label "H_30" "~R~III" 
add_text_label "H_20" "~R~II" 
add_text_label "H_10" "~R~I" 
add_text_label "H_D20" "~R~XXXXXXXXXX" 
add_text_label "H_D18" "~R~XXXXXXXXX" 
add_text_label "H_D16" "~R~XXXXXXXX" 
add_text_label "H_D14" "~R~XXXXXXX" 
add_text_label "H_D12" "~R~XXXXXX" 
add_text_label "H_D10" "~R~XXXXX" 
add_text_label "H_D8" "~R~XXXX" 
add_text_label "H_D6" "~R~XXX" 
add_text_label "H_D4" "~R~XX" 
add_text_label "H_D2" "~R~X" 
add_text_label "H_W00" "_" 
add_text_label "H_M1" "$_+~1~" 
add_text_label "H_M2" "$_~1~" 
add_text_label "H_W01" "BRASS KNUCKLES" 
add_text_label "H_W02" "GOLF CLUB" 
add_text_label "H_W03" "NIGHT STICK" 
add_text_label "H_W04" "KNIFE" 
add_text_label "H_W05" "BASEBALL BAT" 
add_text_label "H_W06" "SHOVEL" 
add_text_label "H_W07" "POOL CUE" 
add_text_label "H_W08" "KATANA" 
add_text_label "H_W09" "CHAINSAW" 
add_text_label "H_W10" "PROPS" 
add_text_label "H_W16" "GRENADES" 
add_text_label "H_W17" "TEAR GAS" 
add_text_label "H_W18" "MOLOTOVS" 
add_text_label "H_W22" "PISTOL" 
add_text_label "H_W23" "SILENCED PISTOL" 
add_text_label "H_W24" "DESERT EAGLE" 
add_text_label "H_W25" "SHOTGUN" 
add_text_label "H_W26" "SAWNOFF SHOTGUN" 
add_text_label "H_W27" "COMBAT SHOTGUN" 
add_text_label "H_W28" "MICRO-UZI" 
add_text_label "H_W29" "MP5" 
add_text_label "H_W30" "AK47" 
add_text_label "H_W31" "M4" 
add_text_label "H_W32" "TEC-9" 
add_text_label "H_W33" "RIFLE" 
add_text_label "H_W34" "SNIPER RIFLE" 
add_text_label "H_W35" "RPG-7" 
add_text_label "H_W36" "MISSILE LAUNCHER" 
add_text_label "H_W37" "FLAME THROWER" 
add_text_label "H_W38" "MINIGUN" 
add_text_label "H_W39" "SACHET CHARGES" 
add_text_label "H_W40" "DETONATOR" 
add_text_label "H_W41" "SPRAY PAINT" 
add_text_label "H_W42" "FIRE EXTINGUISHER" 
add_text_label "H_W43" "CAMERA" 
add_text_label "H_W44" "NIGHTVISION GOGGLES" 
add_text_label "H_W45" "THERMAL GOGGLES" 
add_text_label "H_W46" "PARACHUTE" 
add_text_label "H_W53" "JETPACK" 
add_text_label "H_W54" "CELL PHONE" 
add_text_label "H_W55" "FIXED MINIGUN" 
15@ = 500.0 
16@ = 405.0 
TIMERB = 0 
26@ = Player.Money($PLAYER_CHAR)

:GHUD_1465
wait 0 
if 
   Player.Defined($PLAYER_CHAR)
jf @GHUD_1465 
20@ = Actor.Health($PLAYER_ACTOR)
GHUD_1721()
GHUD_5872()
if 
   not $9395 == 0 
jf @GHUD_1465 
if 
   not fading 
jf @GHUD_1465 
if 
86B9:   not cutscene_data_loaded 
jf @GHUD_1465 
read_memory 10@ 11989093 4 0 
if 
   not 10@ == 1 
jf @GHUD_1465 
read_memory 10@ 9873356 4 0 
if or
   not 10@ == 1 
   not 10@ == 2 
jf @GHUD_1465 
read_memory 10@ 12216172 4 0 
read_memory 11@ 12231675 4 0 
if or
   not 10@ == 2 
   not 11@ == 0 
jf @GHUD_1465 
03F0: enable_text_draw 1 
GHUD_1951()
GHUD_5800()
GHUD_2498()
jump @GHUD_1465 
GHUD_3739()
jump @GHUD_1465 

:GHUD_1721
if and
   not 20@ >= 70 
  20@ > 0 
   not $9465 == 2 
jf @GHUD_1876 
if 
  24@ == 0 
jf @GHUD_1827 
if 
  TIMERB > 2000 
jf @GHUD_1820 
TIMERB = 0 
20@ = Actor.Health($PLAYER_ACTOR)
20@ += 1 
Actor.Health($PLAYER_ACTOR) = 20@

:GHUD_1820
jump @GHUD_1876 

:GHUD_1827
if 
  TIMERB > 1000 
jf @GHUD_1876 
TIMERB = 0 
20@ = Actor.Health($PLAYER_ACTOR)
20@ -= 1 
Actor.Health($PLAYER_ACTOR) = 20@

:GHUD_1876
return 
if 
  10@ >= 0 
jf @GHUD_1927 
045A: draw_text_1number 510.0 370.0 GXT 'H_MON1' number 10@ 
jump @GHUD_1951 

:GHUD_1927
045A: draw_text_1number 510.0 370.0 GXT 'H_MON2' number 10@ 

:GHUD_1951
033F: set_text_draw_letter_size 0.4 1.0 
0340: set_text_draw_RGBA 255 255 255 255 
0342: set_text_draw_centered 1 
0343: set_text_draw_linewidth 600.0 
060D: draw_text_shadow 1 rgba 0 0 0 255 
10@ = Player.Money($PLAYER_CHAR)
if 
  27@ == 1 
jf @GHUD_2423 
28@ -= 1 
if 
   not 28@ >= 255 
jf @GHUD_2085 
23@ -= 5 
if 
   not 23@ > 0 
jf @GHUD_2085 
23@ = 0 

:GHUD_2085
if 
  28@ > 0 
jf @GHUD_2409 
if 
  28@ > 255 
jf @GHUD_2156 
23@ += 5 
if 
  23@ >= 255 
jf @GHUD_2156 
23@ = 255 

:GHUD_2156
033F: set_text_draw_letter_size 0.4 2.0 
0340: set_text_draw_RGBA 255 255 255 23@ 
0342: set_text_draw_centered 1 
0343: set_text_draw_linewidth 600.0 
060D: draw_text_shadow 1 rgba 0 0 0 23@ 
081C: draw_text_outline 1 RGBA 0 0 0 23@ 
if 
  29@ > 0 
jf @GHUD_2268 
045A: draw_text_1number 530.0 25.0 GXT 'H_M1' number 29@ 
jump @GHUD_2289 

:GHUD_2268
045A: draw_text_1number 530.0 25.0 GXT "H_M2" number 29@ 

:GHUD_2289
if 
   not $9406 == 0 
jf @GHUD_2315 
Player.Money($PLAYER_CHAR) += $9406

:GHUD_2315
if 
  29@ >= 100 
jf @GHUD_2402 
if 
  $9406 == 0 
jf @GHUD_2402 
0085: 10@ = 29@ // (int) 
10@ *= -1 
Player.Money($PLAYER_CHAR) += 10@
05A9: s$9408 = 'CHEATEK' // s$ 
Actor.Health($PLAYER_ACTOR) = 0
$9406 = 0 

:GHUD_2402
jump @GHUD_2423 

:GHUD_2409
27@ = 0 
28@ = 0 

:GHUD_2423
10@ = Player.Money($PLAYER_CHAR)
if 
803B:   not  10@ == 26@ // (int) 
jf @GHUD_2496 
23@ = 75 
27@ = 1 
28@ = 400 
29@ = Player.Money($PLAYER_CHAR)
0062: 29@ -= 26@ // (int) 
26@ = Player.Money($PLAYER_CHAR)

:GHUD_2496
return 

:GHUD_2498
25@ = 110 
0085: 21@ = 20@ // (int) 
033F: set_text_draw_letter_size 0.4 1.0 
0340: set_text_draw_RGBA 255 255 255 255 
0342: set_text_draw_centered 1 
0343: set_text_draw_linewidth 600.0 
060D: draw_text_shadow 1 rgba 0 0 0 255 
if 
  $9466 == 1 
jf @GHUD_2611 
045A: draw_text_1number 480.0 390.0 GXT 'H_INV2' number 0 
jump @GHUD_2635 

:GHUD_2611
045A: draw_text_1number 480.0 390.0 GXT 'H_HP' number 21@ 

:GHUD_2635
0349: set_text_draw_font 1 
033F: set_text_draw_letter_size 0.4 1.2 
0340: set_text_draw_RGBA 255 255 255 255 
0342: set_text_draw_centered 1 
0343: set_text_draw_linewidth 600.0 
060D: draw_text_shadow 1 rgba 0 0 0 255 
24@ = 0 
if 
  $9466 == 1 
jf @GHUD_2750 
24@ = 0 
Actor.Health($PLAYER_ACTOR) = 25000
045A: draw_text_1number 15@ 16@ GXT 'H_INV1' number 0 
return 

:GHUD_2750
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_2790 
045A: draw_text_1number 15@ 16@ GXT 'H_100' number 0 
return 

:GHUD_2790
25@ -= 10 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_2837 
045A: draw_text_1number 15@ 16@ GXT 'H_90' number 0 
return 

:GHUD_2837
25@ -= 10 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_2884 
045A: draw_text_1number 15@ 16@ GXT 'H_80' number 0 
return 

:GHUD_2884
25@ -= 10 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_2931 
045A: draw_text_1number 15@ 16@ GXT 'H_70' number 0 
return 

:GHUD_2931
25@ -= 10 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_2978 
045A: draw_text_1number 15@ 16@ GXT 'H_60' number 0 
return 

:GHUD_2978
25@ -= 10 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3025 
045A: draw_text_1number 15@ 16@ GXT 'H_50' number 0 
return 

:GHUD_3025
25@ -= 10 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3072 
045A: draw_text_1number 15@ 16@ GXT 'H_40' number 0 
return 

:GHUD_3072
25@ -= 10 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3119 
045A: draw_text_1number 15@ 16@ GXT 'H_30' number 0 
return 

:GHUD_3119
25@ -= 10 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3166 
045A: draw_text_1number 15@ 16@ GXT 'H_20' number 0 
return 

:GHUD_3166
25@ -= 10 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3213 
045A: draw_text_1number 15@ 16@ GXT 'H_10' number 0 
return 

:GHUD_3213
25@ -= 2 
24@ = 1 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3267 
045A: draw_text_1number 15@ 16@ GXT 'H_D20' number 0 
return 

:GHUD_3267
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3314 
045A: draw_text_1number 15@ 16@ GXT 'H_D20' number 0 
return 

:GHUD_3314
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3361 
045A: draw_text_1number 15@ 16@ GXT 'H_D18' number 0 
return 

:GHUD_3361
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3408 
045A: draw_text_1number 15@ 16@ GXT 'H_D16' number 0 
return 

:GHUD_3408
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3455 
045A: draw_text_1number 15@ 16@ GXT 'H_D14' number 0 
return 

:GHUD_3455
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3502 
045A: draw_text_1number 15@ 16@ GXT 'H_D12' number 0 
return 

:GHUD_3502
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3549 
045A: draw_text_1number 15@ 16@ GXT 'H_D10' number 0 
return 

:GHUD_3549
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3596 
045A: draw_text_1number 15@ 16@ GXT 'H_D8' number 0 
return 

:GHUD_3596
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3643 
045A: draw_text_1number 15@ 16@ GXT 'H_D6' number 0 
return 

:GHUD_3643
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3690 
045A: draw_text_1number 15@ 16@ GXT 'H_D4' number 0 
return 

:GHUD_3690
25@ -= 2 
if 
001D:   20@ > 25@ // (int) 
jf @GHUD_3737 
045A: draw_text_1number 15@ 16@ GXT 'H_D2' number 0 
return 

:GHUD_3737
return 

:GHUD_3739
033F: set_text_draw_letter_size 0.2 0.8 
0340: set_text_draw_RGBA 255 255 255 255 
0342: set_text_draw_centered 1 
0343: set_text_draw_linewidth 600.0 
060D: draw_text_shadow 1 rgba 0 0 0 255 
0470: 10@ = actor $PLAYER_ACTOR current_weapon 
041A: 11@ = actor $PLAYER_ACTOR weapon 10@ ammo 
if and
  10@ >= 16 
   not 10@ > 39 
   not 11@ >= 10000 
jf @GHUD_3872 
